objectid,nombre,direccion,tipozona,no2,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid
22,Patraix,PATRAIX,Urbana,53.0,38.0,14.0,Tráfico,2025-10-15T15:00:00+00:00,Razonablemente Buena,A11_PATRAIX_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,4.0,,,Tráfico,2025-10-15T16:00:00+00:00,Razonablemente Buena,A02_BULEVARDSUD_60m
21,Olivereta,OLIVERETA,Urbana,36.0,26.0,14.0,Tráfico,2025-10-15T16:00:00+00:00,Razonablemente Buena,A10_OLIVERETA_60m
18,Viveros,VIVERS,Urbana,4.0,,,Fondo,2025-10-15T16:00:00+00:00,Razonablemente Buena,A06_VIVERS_60m
12,Dr. Lluch,DR.LLUCH,Urbana,11.0,26.0,12.0,Tráfico,2025-10-15T16:00:00+00:00,Razonablemente Buena,A08_DR_LLUCH_60m
20,Cabanyal,CABANYAL,Urbana,5.0,19.0,10.0,Fondo,2025-10-15T16:00:00+00:00,Buena,A09_CABANYAL_60m
13,Francia,AVDA.FRANCIA,Urbana,15.0,18.0,10.0,Tráfico,2025-10-15T17:00:00+00:00,Razonablemente Buena,A01_AVFRANCIA_60m
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,13.0,21.0,11.0,Tráfico,2025-10-15T16:00:00+00:00,Razonablemente Buena,A03_MOLISOL_60m
16,Pista de Silla,PISTA DE SILLA,Urbana,23.0,25.0,13.0,Tráfico,2025-10-15T16:00:00+00:00,Razonablemente Buena,A04_PISTASILLA_60m
17,Universidad Politécnica,POLITÈCNIC,Suburbana,7.0,17.0,10.0,Fondo,2025-10-15T16:00:00+00:00,Razonablemente Buena,A05_POLITECNIC_60m
