objectid,nombre,direccion,tipozona,no2,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid
12,Dr. Lluch,DR.LLUCH,Urbana,41.0,28.0,14.0,Tráfico,2025-10-16T08:00:00+0000,Razonablemente Buena,A08_DR_LLUCH_60m
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,18.0,21.0,11.0,Tráfico,2025-10-16T08:00:00+0000,Razonablemente Buena,A03_MOLISOL_60m
21,Olivereta,OLIVERETA,Urbana,48.0,29.0,16.0,Tráfico,2025-10-16T08:00:00+0000,Razonablemente Buena,A10_OLIVERETA_60m
18,Viveros,VIVERS,Urbana,34.0,,,Fondo,2025-10-16T08:00:00+0000,Buena,A06_VIVERS_60m
16,Pista de Silla,PISTA DE SILLA,Urbana,31.0,26.0,15.0,Tráfico,2025-10-16T08:00:00+0000,Razonablemente Buena,A04_PISTASILLA_60m
22,Patraix,PATRAIX,Urbana,46.0,46.0,17.0,Tráfico,2025-10-16T08:00:00+0000,Regular,A11_PATRAIX_60m
13,Francia,AVDA.FRANCIA,Urbana,44.0,23.0,13.0,Tráfico,2025-10-16T08:00:00+0000,Razonablemente Buena,A01_AVFRANCIA_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,4.0,,,Tráfico,2025-10-16T08:00:00+0000,Buena,A02_BULEVARDSUD_60m
19,Centro,VALÈNCIA CENTRE,Urbana,42.0,24.0,13.0,Tráfico,2025-10-16T08:00:00+0000,Razonablemente Buena,A07_VALENCIACENTRE_60m
20,Cabanyal,CABANYAL,Urbana,22.0,19.0,11.0,Fondo,2025-10-16T08:00:00+0000,Razonablemente Buena,A09_CABANYAL_60m
